ticket_id,customer_id,created_at,product,channel,priority,previous_tickets_30d,message_length,agent_experience_months,customer_plan,sla_breach
T0000032,C01386,2026-03-06 11:00:00,Payments API,Web,High,1,36,13,Free,0
T0000033,C00933,2026-05-18 22:00:00,Storage,Web,Low,1,796,19,Starter,0
T0000034,C01304,2026-06-13 13:00:00,Storage,Phone,Medium,3,365,33,Free,0
T0000035,C00715,2026-06-23 06:00:00,Analytics,Email,Low,1,684,6,Business,0
T0000036,C00045,2026-03-11 22:00:00,Storage,Phone,Medium,1,698,41,Business,0
T0000037,C00662,2026-03-29 14:00:00,Authentication,Chat,Medium,1,590,32,Business,0
T0000038,C01267,2026-04-02 15:00:00,Payments API,Web,Low,0,383,54,Free,0
T0000039,C01166,2026-01-11 02:00:00,Analytics,Chat,Medium,0,123,44,Business,0
T0000040,C01783,2026-01-21 23:00:00,Payments API,Chat,High,0,192,38,Free,0
T0000041,C01796,2026-01-09 03:00:00,Messaging,Chat,Medium,2,581,34,Free,0
T0000042,C00437,2026-05-13 17:00:00,Messaging,Chat,High,1,703,47,Free,0
T0000043,C00018,2026-02-10 09:00:00,Messaging,Email,Low,1,461,49,Free,0
T0000044,C00494,2026-05-07 01:00:00,Payments API,Chat,Medium,1,561,16,Starter,0
T0000045,C01578,2026-03-09 13:00:00,Analytics,Chat,High,2,415,28,Business,0
T0000046,C01465,2026-05-23 23:00:00,Authentication,Phone,Medium,2,485,62,Starter,0
T0000047,C00178,2026-01-21 19:00:00,Payments API,Email,Urgent,5,839,45,Enterprise,1
T0000048,C00289,2026-02-28 12:00:00,Payments API,Email,Medium,0,324,62,Starter,0
T0000049,C01015,2026-02-06 20:00:00,Analytics,Chat,High,1,807,13,Starter,0
T0000050,C01190,2026-03-20 11:00:00,Authentication,Web,Low,0,114,8,Starter,0
T0000051,C01769,2026-04-12 03:00:00,Payments API,Chat,Low,0,49,51,Free,0
T0000052,C01360,2026-01-31 07:00:00,Storage,Phone,Medium,1,781,28,Free,0
T0000053,C00382,2026-05-01 01:00:00,Authentication,Email,High,2,485,32,Enterprise,0
T0000054,C00067,2026-06-23 14:00:00,Payments API,Chat,Low,0,204,60,Starter,0
T0000055,C01141,2026-01-08 18:00:00,Payments API,Phone,Low,2,58,16,Starter,0
T0000056,C00997,2026-01-16 11:00:00,Storage,Chat,Urgent,1,581,22,Starter,0
T0000057,C01660,2026-06-21 09:00:00,Authentication,Chat,Medium,0,395,20,Free,0
T0000058,C01037,2026-04-27 19:00:00,Storage,Phone,Medium,4,285,9,Starter,0
T0000059,C00903,2026-06-15 12:00:00,Messaging,Chat,Low,3,891,65,Free,0
T0000060,C00547,2026-05-07 22:00:00,Storage,Email,Medium,3,230,6,Starter,1
T0000061,C00156,2026-05-10 02:00:00,Storage,Email,High,1,792,58,Starter,0
T0000062,C01578,2026-01-29 09:00:00,Messaging,Web,Medium,0,418,16,Business,0
T0000063,C01487,2026-04-03 03:00:00,Storage,Web,Low,1,201,25,Enterprise,0
T0000064,C00293,2026-03-07 18:00:00,Storage,Email,Medium,2,667,18,Business,0
T0000065,C01268,2026-05-31 01:00:00,Analytics,Chat,Medium,2,763,7,Enterprise,1
T0000066,C00656,2026-01-08 18:00:00,Authentication,Chat,High,0,230,54,Starter,0
T0000067,C00787,2026-01-04 06:00:00,Storage,Email,Medium,2,530,10,Business,0
T0000068,C01528,2026-04-11 04:00:00,Storage,Web,High,2,110,4,Starter,0
T0000069,C01516,2026-06-24 16:00:00,Payments API,Chat,Medium,1,598,27,Free,0
T0000070,C00344,2026-06-29 02:00:00,Payments API,Web,Low,2,451,41,Starter,0
T0000071,C00554,2026-04-17 20:00:00,Analytics,Web,Medium,3,761,16,Business,0
T0000072,C01479,2026-03-19 09:00:00,Messaging,Email,Medium,1,506,66,Starter,0
T0000073,C01651,2026-02-19 03:00:00,Analytics,Web,Low,1,244,21,Free,0
T0000074,C00143,2026-06-28 04:00:00,Messaging,Web,Medium,2,601,67,Enterprise,0
T0000075,C01501,2026-02-02 23:00:00,Payments API,Chat,Low,0,359,18,Starter,0
T0000076,C00881,2026-01-23 17:00:00,Payments API,Email,Medium,1,422,44,Starter,1
T0000077,C01063,2026-04-02 12:00:00,Messaging,Web,Medium,1,558,10,Free,0
T0000078,C00136,2026-03-12 15:00:00,Analytics,Web,Low,0,366,30,Free,0
T0000079,C01225,2026-03-31 05:00:00,Payments API,Web,Medium,0,224,58,Free,0
T0000080,C01221,2026-06-12 08:00:00,Analytics,Chat,Medium,1,162,25,Free,0
T0000081,C01193,2026-02-18 13:00:00,Analytics,Web,Medium,0,867,20,Business,0
T0000082,C01424,2026-06-07 19:00:00,Authentication,Web,High,1,291,39,Starter,0
T0000083,C01703,2026-02-08 02:00:00,Storage,Chat,High,1,748,24,Starter,0
T0000084,C01530,2026-02-28 05:00:00,Payments API,Email,Medium,0,246,61,Free,0
T0000085,C01341,2026-01-01 19:00:00,Messaging,Chat,Medium,0,655,23,Free,0
T0000086,C01767,2026-05-03 03:00:00,Analytics,Web,Medium,0,145,19,Enterprise,0
T0000087,C01215,2026-06-04 12:00:00,Authentication,Email,High,0,246,29,Free,0
T0000088,C01210,2026-06-09 12:00:00,Analytics,Web,Medium,1,860,15,Starter,0
T0000089,C00976,2026-01-31 03:00:00,Analytics,Email,Medium,1,823,44,Starter,0
T0000090,C01385,2026-05-19 00:00:00,Authentication,Web,Low,0,189,15,Enterprise,1
T0000091,C00129,2026-01-26 10:00:00,Authentication,Email,High,1,464,23,Free,0
T0000092,C00911,2026-04-24 03:00:00,Payments API,Web,High,0,527,37,Business,0
T0000093,C00766,2026-05-07 10:00:00,Payments API,Chat,Low,2,780,21,Free,1
T0000094,C01643,2026-01-28 11:00:00,Analytics,Web,Medium,0,380,27,Starter,0
T0000095,C00131,2026-01-20 21:00:00,Storage,Phone,Medium,0,799,17,Free,0
T0000096,C01159,2026-01-14 03:00:00,Analytics,Email,Low,2,506,67,Starter,0
T0000097,C00332,2026-05-08 12:00:00,Authentication,Email,Low,0,288,39,Free,0
T0000098,C01591,2026-04-21 15:00:00,Authentication,Email,High,0,538,30,Free,0
T0000099,C01534,2026-01-22 11:00:00,Analytics,Chat,Low,0,102,18,Business,0
T0000100,C00424,2026-04-01 01:00:00,Payments API,Web,Medium,0,482,49,Free,0
T0000101,C01570,2026-05-24 05:00:00,Authentication,Email,High,1,98,40,Starter,0
T0000102,C00895,2026-02-12 20:00:00,Storage,Web,Low,1,316,61,Business,0
T0000103,C01748,2026-04-20 00:00:00,Storage,Chat,Medium,2,645,3,Starter,0
T0000104,C01314,2026-02-22 16:00:00,Analytics,Phone,High,0,326,59,Free,0
T0000105,C00063,2026-02-16 23:00:00,Authentication,Chat,High,1,892,55,Starter,0
T0000106,C00365,2026-03-12 13:00:00,Analytics,Phone,Low,1,178,15,Starter,0
T0000107,C00727,2026-03-05 09:00:00,Storage,Chat,Low,1,807,38,Free,0
T0000108,C00381,2026-03-31 04:00:00,Authentication,Phone,Medium,2,389,53,Starter,0
T0000109,C00239,2026-02-06 23:00:00,Storage,Chat,Low,2,596,47,Free,0
T0000110,C01761,2026-03-12 05:00:00,Storage,Chat,Medium,1,344,46,Starter,0
T0000111,C01565,2026-04-23 00:00:00,Analytics,Web,Low,3,462,13,Business,0
T0000112,C00783,2026-03-11 17:00:00,Authentication,Chat,High,0,893,34,Starter,0
T0000113,C00388,2026-04-29 03:00:00,Authentication,Chat,Medium,1,197,62,Enterprise,0
T0000114,C00328,2026-01-21 19:00:00,Analytics,Chat,Medium,1,111,60,Starter,0
T0000115,C01649,2026-01-25 18:00:00,Storage,Web,Medium,1,509,11,Business,0
T0000116,C00597,2026-06-05 19:00:00,Authentication,Web,Low,2,532,28,Business,0
T0000117,C00023,2026-03-25 03:00:00,Analytics,Email,Medium,2,794,62,Enterprise,0
T0000118,C00716,2026-04-20 15:00:00,Authentication,Web,High,0,890,7,Free,0
T0000119,C00818,2026-05-14 03:00:00,Storage,Chat,Medium,1,540,43,Starter,1
T0000120,C01122,2026-01-27 07:00:00,Authentication,Email,Low,0,837,4,Free,1
T0000121,C00610,2026-06-25 00:00:00,Messaging,Email,High,2,112,68,Starter,0
T0000122,C01662,2026-03-18 07:00:00,Storage,Email,Low,0,633,46,Starter,0
T0000123,C01159,2026-06-10 03:00:00,Analytics,Web,Medium,1,490,60,Starter,0
T0000124,C01776,2026-03-17 00:00:00,Storage,Email,Low,2,375,34,Starter,0
T0000125,C00661,2026-03-15 00:00:00,Authentication,Email,Medium,2,770,4,Free,0
T0000126,C01174,2026-04-19 02:00:00,Authentication,Chat,Low,1,662,55,Business,0
T0000127,C00658,2026-02-04 08:00:00,Messaging,Web,Low,0,90,70,Free,0
T0000128,C01260,2026-04-20 14:00:00,Payments API,Chat,Medium,2,844,64,Enterprise,0
T0000129,C01343,2026-06-26 23:00:00,Messaging,Chat,Low,0,461,13,Starter,0
T0000130,C00580,2026-04-27 03:00:00,Authentication,Web,Medium,1,501,46,Starter,0
T0000131,C01688,2026-01-13 14:00:00,Messaging,Email,Medium,1,184,10,Starter,0
T0000132,C01543,2026-05-06 14:00:00,Storage,Web,Medium,0,328,41,Starter,0
T0000133,C01611,2026-01-07 00:00:00,Authentication,Email,Low,3,650,30,Free,0
T0000134,C00393,2026-01-19 14:00:00,Storage,Email,High,1,41,15,Starter,0
T0000135,C01293,2026-02-21 05:00:00,Authentication,Chat,Medium,2,370,41,Starter,0
T0000136,C00192,2026-02-24 21:00:00,Analytics,Email,Medium,2,470,41,Free,0
T0000137,C00190,2026-01-01 15:00:00,Messaging,Email,Low,0,825,39,Free,0
T0000138,C01752,2026-01-04 02:00:00,Payments API,Web,High,0,110,38,Free,0
T0000139,C00276,2026-05-23 01:00:00,Storage,Chat,Medium,2,798,26,Starter,0
T0000140,C01556,2026-03-23 20:00:00,Payments API,Email,Low,3,307,44,Business,0
T0000141,C00776,2026-02-05 23:00:00,Authentication,Chat,Low,0,257,3,Business,0
T0000142,C00547,2026-03-19 07:00:00,Storage,Web,Medium,3,571,36,Starter,0
T0000143,C00133,2026-05-05 17:00:00,Payments API,Phone,Low,1,407,37,Starter,1
T0000144,C01216,2026-05-13 04:00:00,Authentication,Email,Medium,2,271,42,Starter,0
T0000145,C01299,2026-02-21 20:00:00,Authentication,Web,Medium,0,217,67,Business,1
T0000146,C00841,2026-01-31 01:00:00,Analytics,Web,Medium,0,224,55,Free,0
T0000147,C01458,2026-06-22 16:00:00,Messaging,Chat,Medium,2,228,56,Starter,0
T0000148,C00582,2026-04-24 16:00:00,Analytics,Email,Medium,4,542,64,Starter,0
T0000149,C00994,2026-06-26 22:00:00,Analytics,Chat,Low,0,429,68,Free,0
T0000150,C00517,2026-02-25 04:00:00,Analytics,Email,Medium,0,93,38,Starter,0
T0000151,C01049,2026-01-21 00:00:00,Messaging,Web,High,1,236,36,Business,0
T0000152,C00245,2026-03-10 17:00:00,Storage,Web,High,0,837,62,Starter,0
T0000153,C00858,2026-03-01 00:00:00,Payments API,Email,Medium,0,739,60,Business,0
T0000154,C00989,2026-05-10 11:00:00,Authentication,Email,High,1,885,44,Starter,1
T0000155,C01002,2026-05-09 21:00:00,Analytics,Phone,Low,2,632,56,Starter,0
T0000156,C00804,2026-01-13 21:00:00,Analytics,Chat,Low,2,890,27,Starter,0
T0000157,C01159,2026-04-16 19:00:00,Storage,Chat,Low,3,627,17,Starter,0
T0000158,C00922,2026-03-03 16:00:00,Messaging,Phone,Low,2,35,28,Business,0
T0000159,C00510,2026-04-21 16:00:00,Storage,Email,High,1,512,49,Free,0
T0000160,C00388,2026-03-12 10:00:00,Messaging,Chat,Low,0,32,55,Enterprise,0
T0000161,C01166,2026-04-07 17:00:00,Messaging,Web,Medium,0,149,35,Business,0
T0000162,C01690,2026-05-09 20:00:00,Messaging,Chat,Low,0,119,36,Starter,0
T0000163,C01356,2026-02-22 19:00:00,Messaging,Chat,High,0,73,61,Free,0
T0000164,C01150,2026-02-05 20:00:00,Storage,Web,High,1,827,56,Business,0
T0000165,C01659,2026-05-08 01:00:00,Analytics,Email,Medium,0,171,36,Starter,0
T0000166,C01620,2026-06-20 12:00:00,Payments API,Email,Medium,3,786,42,Free,0
T0000167,C00912,2026-03-21 22:00:00,Authentication,Chat,High,2,302,46,Business,0
T0000168,C00197,2026-06-29 14:00:00,Payments API,Web,High,2,45,6,Starter,0
T0000169,C01142,2026-02-03 06:00:00,Payments API,Chat,Medium,0,322,34,Business,0
T0000170,C01122,2026-05-28 09:00:00,Payments API,Email,Medium,1,92,36,Free,0
T0000171,C00500,2026-06-27 21:00:00,Payments API,Chat,Medium,0,302,68,Starter,1
T0000172,C01530,2026-02-23 22:00:00,Messaging,Chat,Medium,2,294,37,Free,0
T0000173,C01566,2026-01-27 14:00:00,Authentication,Web,High,1,73,3,Starter,0
T0000174,C00596,2026-04-30 11:00:00,Storage,Web,Medium,1,272,51,Free,0
T0000175,C00859,2026-06-06 11:00:00,Analytics,Chat,Low,1,129,60,Starter,0
T0000176,C00352,2026-01-15 23:00:00,Analytics,Web,Low,1,31,57,Free,0
T0000177,C00322,2026-04-26 07:00:00,Authentication,Web,Urgent,1,572,54,Starter,0
T0000178,C00478,2026-06-06 19:00:00,Messaging,Web,Medium,4,100,11,Starter,0
T0000179,C00659,2026-01-06 18:00:00,Storage,Chat,High,3,632,39,Starter,0
T0000180,C00492,2026-04-03 21:00:00,Messaging,Email,Medium,1,619,45,Starter,0
T0000181,C00273,2026-01-14 20:00:00,Authentication,Web,Low,1,764,65,Free,0
T0000182,C00805,2026-02-01 18:00:00,Storage,Chat,Medium,1,544,51,Free,0
T0000183,C01123,2026-03-29 13:00:00,Payments API,Chat,Low,1,400,43,Business,0
T0000184,C00587,2026-02-28 22:00:00,Authentication,Email,Medium,0,337,60,Free,0
T0000185,C00961,2026-01-16 07:00:00,Analytics,Email,Medium,1,235,26,Starter,0
T0000186,C00489,2026-05-25 03:00:00,Payments API,Email,Medium,1,243,37,Starter,0
T0000187,C01267,2026-02-06 12:00:00,Analytics,Email,Medium,1,203,64,Free,0
T0000188,C01168,2026-06-06 15:00:00,Messaging,Email,Medium,2,442,5,Starter,0
T0000189,C01729,2026-02-01 19:00:00,Analytics,Email,High,2,587,54,Free,0
T0000190,C00096,2026-04-04 13:00:00,Storage,Email,Low,1,585,8,Starter,0
T0000191,C01536,2026-05-11 20:00:00,Messaging,Email,High,1,661,18,Starter,1
T0000192,C00613,2026-03-28 10:00:00,Messaging,Phone,Medium,3,295,32,Enterprise,0
T0000193,C00119,2026-03-17 01:00:00,Analytics,Chat,Medium,0,853,23,Starter,0
T0000194,C01242,2026-05-16 03:00:00,Storage,Chat,Low,1,145,52,Starter,0
T0000195,C00310,2026-01-03 02:00:00,Analytics,Web,Low,1,645,31,Free,0
T0000196,C00317,2026-05-29 17:00:00,Analytics,Chat,Medium,2,828,68,Starter,0
T0000197,C01764,2026-05-05 04:00:00,Messaging,Email,High,2,757,51,Free,0
T0000198,C00398,2026-05-18 16:00:00,Messaging,Chat,Medium,0,130,28,Free,0
T0000199,C00985,2026-03-17 18:00:00,Analytics,Chat,Low,5,622,9,Free,1
T0000200,C00362,2026-03-11 04:00:00,Analytics,Chat,Medium,1,759,47,Free,0
T0000201,C00224,2026-04-13 22:00:00,Authentication,Email,High,0,332,4,Enterprise,0
T0000202,C00002,2026-04-26 13:00:00,Authentication,Chat,Medium,1,519,52,Starter,0
T0000203,C00029,2026-06-16 12:00:00,Payments API,Email,Low,3,453,7,Free,0
T0000204,C00853,2026-06-04 07:00:00,Analytics,Email,Medium,1,438,8,Business,0
T0000205,C00782,2026-01-10 16:00:00,Payments API,Web,High,0,605,50,Business,1
T0000206,C00071,2026-01-28 07:00:00,Payments API,Email,Low,1,252,39,Free,0
T0000207,C00630,2026-06-20 09:00:00,Analytics,Chat,Low,1,301,67,Business,0
T0000208,C00492,2026-03-11 20:00:00,Payments API,Email,Medium,2,638,8,Starter,0
T0000209,C01029,2026-04-15 10:00:00,Messaging,Web,Medium,2,118,24,Business,0
T0000210,C01791,2026-01-11 04:00:00,Messaging,Chat,Low,1,457,35,Business,0
T0000211,C01245,2026-01-19 20:00:00,Analytics,Web,Medium,3,681,66,Starter,0
T0000212,C01654,2026-03-15 14:00:00,Storage,Chat,High,0,119,63,Free,0
T0000213,C00347,2026-05-10 02:00:00,Authentication,Phone,High,0,252,70,Enterprise,0
T0000214,C00388,2026-05-20 00:00:00,Analytics,Email,Low,3,744,58,Enterprise,1
T0000215,C01352,2026-06-11 01:00:00,Payments API,Web,High,4,472,32,Business,0
T0000216,C00559,2026-02-05 11:00:00,Authentication,Chat,Medium,1,625,50,Starter,0
T0000217,C01528,2026-02-06 07:00:00,Storage,Chat,Low,0,767,50,Starter,0
T0000218,C00835,2026-04-08 12:00:00,Payments API,Web,Low,1,699,65,Business,0
T0000219,C00362,2026-04-09 10:00:00,Payments API,Phone,Urgent,0,338,5,Free,1
T0000220,C01520,2026-01-07 14:00:00,Authentication,Web,Low,1,228,23,Free,0
T0000221,C00991,2026-03-22 11:00:00,Storage,Chat,Low,2,602,25,Starter,0
T0000222,C01445,2026-06-11 13:00:00,Analytics,Chat,Medium,0,309,34,Free,0
T0000223,C00815,2026-01-30 12:00:00,Messaging,Email,Medium,0,271,53,Free,0
T0000224,C00228,2026-05-28 14:00:00,Authentication,Chat,Low,0,315,22,Starter,0
T0000225,C01226,2026-03-22 12:00:00,Payments API,Chat,Medium,0,452,25,Business,0
T0000226,C00225,2026-04-05 09:00:00,Storage,Email,Medium,2,169,26,Free,0
T0000227,C01194,2026-04-26 11:00:00,Payments API,Email,High,1,231,38,Enterprise,1
T0000228,C00751,2026-05-08 00:00:00,Authentication,Phone,Medium,2,797,48,Free,0
T0000229,C01425,2026-04-25 17:00:00,Messaging,Email,Low,2,807,26,Starter,1
T0000230,C01567,2026-01-19 16:00:00,Messaging,Chat,High,3,348,49,Free,0
T0000231,C00734,2026-02-23 03:00:00,Storage,Email,Medium,1,87,49,Starter,0
T0000232,C01588,2026-06-02 03:00:00,Messaging,Chat,Medium,1,297,11,Starter,0
T0000233,C00200,2026-01-08 05:00:00,Messaging,Email,Low,2,395,3,Starter,0
T0000234,C00194,2026-05-09 17:00:00,Payments API,Web,Medium,1,443,61,Business,0
T0000235,C01789,2026-04-04 16:00:00,Analytics,Email,Low,2,360,56,Business,0
T0000236,C01034,2026-01-22 14:00:00,Analytics,Email,Medium,4,861,20,Business,0
T0000237,C00812,2026-01-23 02:00:00,Analytics,Email,Low,1,723,33,Free,0
T0000238,C00281,2026-06-26 12:00:00,Payments API,Email,Medium,1,348,19,Free,0
T0000239,C00521,2026-01-06 14:00:00,Payments API,Chat,Low,1,887,3,Business,0
T0000240,C01236,2026-01-05 01:00:00,Authentication,Email,Medium,3,839,27,Free,1
T0000241,C01480,2026-01-04 00:00:00,Messaging,Web,Medium,1,320,18,Starter,0
T0000242,C01650,2026-04-24 03:00:00,Storage,Chat,Medium,5,841,29,Business,0
T0000243,C00734,2026-06-16 18:00:00,Storage,Email,High,1,838,71,Starter,0
T0000244,C00819,2026-01-31 21:00:00,Authentication,Email,Medium,2,308,48,Starter,0
T0000245,C00294,2026-05-24 05:00:00,Storage,Chat,Medium,1,293,38,Free,0
T0000246,C00150,2026-05-10 11:00:00,Authentication,Chat,Medium,2,546,50,Free,0
T0000247,C00789,2026-02-11 08:00:00,Authentication,Chat,Medium,1,741,37,Business,0
T0000248,C01043,2026-01-13 16:00:00,Analytics,Web,High,1,588,50,Starter,0
T0000249,C00188,2026-03-29 19:00:00,Messaging,Email,Medium,1,559,38,Free,0
T0000250,C00736,2026-01-15 14:00:00,Analytics,Chat,High,3,278,39,Starter,1
T0000251,C01155,2026-01-21 10:00:00,Authentication,Chat,Low,1,647,67,Starter,0
T0000252,C01460,2026-03-25 22:00:00,Storage,Email,High,0,893,19,Starter,0
T0000253,C01690,2026-05-27 19:00:00,Authentication,Chat,Medium,0,740,52,Starter,0
T0000254,C00613,2026-06-28 22:00:00,Analytics,Chat,Low,3,549,19,Enterprise,0
T0000255,C00706,2026-04-24 00:00:00,Messaging,Chat,Medium,1,101,12,Starter,0
T0000256,C01575,2026-02-19 18:00:00,Messaging,Web,Low,1,651,68,Free,0
T0000257,C01248,2026-03-01 02:00:00,Messaging,Email,High,0,516,54,Free,0
T0000258,C00493,2026-04-21 06:00:00,Payments API,Chat,High,1,630,14,Starter,1
T0000259,C01234,2026-02-01 04:00:00,Analytics,Web,Medium,0,618,64,Starter,0
T0000260,C00284,2026-04-04 08:00:00,Payments API,Chat,Low,1,224,34,Free,0
T0000261,C00809,2026-05-19 09:00:00,Storage,Web,High,0,517,27,Starter,0
T0000262,C00552,2026-06-01 13:00:00,Analytics,Chat,High,1,546,59,Free,0
T0000263,C01787,2026-01-11 15:00:00,Authentication,Chat,Medium,3,478,44,Starter,0
T0000264,C00063,2026-02-21 22:00:00,Storage,Email,Medium,0,781,39,Starter,0
T0000265,C01543,2026-02-15 20:00:00,Storage,Chat,Medium,1,569,36,Starter,1
T0000266,C00507,2026-04-10 21:00:00,Analytics,Chat,Medium,0,693,69,Starter,0
T0000267,C00066,2026-02-03 08:00:00,Storage,Email,High,0,613,27,Starter,0
T0000268,C01189,2026-06-21 02:00:00,Messaging,Email,Medium,2,428,69,Free,0
T0000269,C01221,2026-06-15 01:00:00,Messaging,Email,Low,0,609,36,Free,0
T0000270,C00257,2026-03-01 20:00:00,Payments API,Chat,Low,1,502,61,Business,0
T0000271,C00069,2026-03-15 06:00:00,Messaging,Email,Medium,1,545,6,Free,0
T0000272,C00201,2026-03-21 02:00:00,Messaging,Web,Medium,1,587,31,Business,0
T0000273,C00736,2026-01-08 16:00:00,Authentication,Phone,High,1,529,35,Starter,1
T0000274,C00239,2026-06-09 23:00:00,Authentication,Phone,High,1,353,61,Free,0
T0000275,C01266,2026-05-21 06:00:00,Analytics,Email,Low,2,626,13,Business,0
T0000276,C00140,2026-03-01 20:00:00,Messaging,Chat,Low,0,319,50,Free,0
T0000277,C01421,2026-04-09 12:00:00,Payments API,Web,Medium,1,518,65,Business,1
T0000278,C01575,2026-03-10 12:00:00,Analytics,Web,High,1,421,64,Free,0
T0000279,C01291,2026-02-11 01:00:00,Authentication,Email,High,1,505,35,Starter,1
T0000280,C01700,2026-02-24 17:00:00,Payments API,Web,Low,2,898,20,Business,1
T0000281,C01691,2026-01-20 06:00:00,Storage,Chat,Low,3,560,61,Business,0
T0000282,C00084,2026-05-26 17:00:00,Storage,Web,High,1,638,9,Free,1
T0000283,C00616,2026-04-28 20:00:00,Authentication,Phone,Medium,1,350,64,Business,0
T0000284,C01369,2026-06-17 11:00:00,Authentication,Phone,Medium,1,145,41,Free,0
T0000285,C00612,2026-01-02 04:00:00,Analytics,Chat,Low,1,862,17,Starter,0
T0000286,C01327,2026-04-24 14:00:00,Analytics,Email,Low,2,138,34,Starter,0
T0000287,C01394,2026-04-11 20:00:00,Storage,Chat,Low,0,586,19,Free,0
T0000288,C01795,2026-04-23 06:00:00,Authentication,Chat,Medium,1,148,43,Business,0
T0000289,C00594,2026-06-28 03:00:00,Storage,Chat,Medium,2,657,20,Starter,0
T0000290,C00627,2026-03-12 04:00:00,Payments API,Chat,Medium,1,796,63,Business,0
T0000291,C00044,2026-01-26 09:00:00,Payments API,Chat,Medium,1,54,64,Starter,0
T0000292,C00514,2026-01-03 05:00:00,Authentication,Chat,Low,1,156,60,Free,0
T0000293,C00505,2026-03-30 13:00:00,Messaging,Phone,Low,2,442,36,Starter,0
T0000294,C00816,2026-02-01 07:00:00,Authentication,Web,Low,2,422,8,Business,0
T0000295,C00759,2026-01-26 09:00:00,Storage,Chat,Low,1,141,8,Free,0
T0000296,C01542,2026-01-27 12:00:00,Payments API,Chat,Urgent,1,589,13,Free,0
T0000297,C01393,2026-02-19 20:00:00,Storage,Chat,Low,2,260,17,Free,0
T0000298,C01312,2026-01-21 20:00:00,Authentication,Chat,Low,4,735,50,Business,0
T0000299,C00010,2026-03-29 11:00:00,Analytics,Email,Medium,2,286,15,Starter,0
T0000300,C00849,2026-04-28 17:00:00,Messaging,Web,Medium,0,310,40,Free,0
T0000301,C01314,2026-02-22 01:00:00,Messaging,Web,Low,1,619,61,Free,0
T0000302,C00441,2026-01-25 13:00:00,Storage,Chat,Low,0,231,15,Business,0
T0000303,C00765,2026-04-14 00:00:00,Payments API,Phone,Low,0,268,28,Business,0
T0000304,C01309,2026-01-16 09:00:00,Messaging,Phone,Low,1,119,4,Free,0
T0000305,C01431,2026-05-13 18:00:00,Analytics,Web,Medium,0,215,62,Enterprise,0
T0000306,C01539,2026-03-10 20:00:00,Authentication,Phone,Medium,0,99,23,Business,0
T0000307,C00774,2026-03-15 19:00:00,Authentication,Chat,Low,1,135,33,Business,0
