ticket_id,customer_id,created_date,product,channel,priority,customer_plan,previous_tickets_30d,message_length,agent_experience_months,monthly_spend,months_active,sla_breach,breach_probability,priority_score,recommended_action,risk_reasons
T0000029,C00278,2026-05-18,Authentication,Email,Medium,Starter,1,685,12,48.13,46,1,0.5827466109924792,71.27466109924791,PRIORITIZE,Long customer message • Less-experienced agent
T0000030,C01343,2026-04-11,Analytics,Chat,Low,Starter,0,750,31,65.65,11,0,0.3546401412185575,38.464014121855755,MONITOR,Long customer message
T0000031,C01551,2026-02-06,Authentication,Phone,Medium,Free,4,252,20,70.64,45,0,0.6336186559552832,73.36186559552831,PRIORITIZE,Frequent recent contact • Phone support
T0000032,C01386,2026-03-06,Payments API,Web,High,Free,1,36,13,38.56,23,0,0.7358205456597633,93.58205456597634,PRIORITIZE,High priority • Payments product
T0000033,C00933,2026-05-18,Storage,Web,Low,Starter,1,796,19,12.92,3,0,0.3970960884680604,42.70960884680604,MONITOR,Long customer message
T0000034,C01304,2026-06-13,Storage,Phone,Medium,Free,3,365,33,96.16,4,0,0.5047650437289392,60.47650437289391,MONITOR,Phone support
T0000035,C00715,2026-06-23,Analytics,Email,Low,Business,1,684,6,33.73,34,0,0.45465353456507696,52.46535345650769,MONITOR,Long customer message • Less-experienced agent
T0000036,C00045,2026-03-11,Storage,Phone,Medium,Business,1,698,41,59.6,12,0,0.3808923443447457,55.08923443447457,MONITOR,Long customer message • Phone support
T0000037,C00662,2026-03-29,Authentication,Chat,Medium,Business,1,590,32,66.72,7,0,0.4698250167996857,63.98250167996857,MONITOR,No major risk drivers
T0000038,C01267,2026-04-02,Payments API,Web,Low,Free,0,383,54,27.24,5,0,0.3688397579652806,36.88397579652806,MONITOR,Payments product
T0000039,C01166,2026-01-11,Analytics,Chat,Medium,Business,0,123,44,19.54,8,0,0.3105424739763616,48.05424739763616,NORMAL QUEUE,No major risk drivers
T0000040,C01783,2026-01-21,Payments API,Chat,High,Free,0,192,38,26.33,29,0,0.602087024847306,80.2087024847306,PRIORITIZE,High priority • Payments product
T0000041,C01796,2026-01-09,Messaging,Chat,Medium,Free,2,581,34,87.53,7,0,0.47609371659361216,57.609371659361216,MONITOR,No major risk drivers
T0000042,C00437,2026-05-13,Messaging,Chat,High,Free,1,703,47,45.78,21,0,0.566430079365496,76.64300793654961,PRIORITIZE,High priority • Long customer message
T0000043,C00018,2026-02-10,Messaging,Email,Low,Free,1,461,49,92.54,41,0,0.3396038245581325,33.960382455813246,NORMAL QUEUE,No major risk drivers
T0000044,C00494,2026-05-07,Payments API,Chat,Medium,Starter,1,561,16,22.79,40,0,0.5354928597103791,66.5492859710379,MONITOR,Payments product
T0000045,C01578,2026-03-09,Analytics,Chat,High,Business,2,415,28,46.36,2,0,0.639872412126586,90.9872412126586,PRIORITIZE,High priority
T0000046,C01465,2026-05-23,Authentication,Phone,Medium,Starter,2,485,62,47.25,4,0,0.47906934711399346,60.906934711399344,MONITOR,Phone support
T0000047,C00178,2026-01-21,Payments API,Email,Urgent,Enterprise,5,839,45,18.59,36,1,0.8836495803233044,130.36495803233043,ESCALATE,Urgent priority • Frequent recent contact • Long customer message • Payments product
T0000048,C00289,2026-02-28,Payments API,Email,Medium,Starter,0,324,62,23.42,33,0,0.40294094818752707,53.294094818752704,MONITOR,Payments product
T0000049,C01015,2026-02-06,Analytics,Chat,High,Starter,1,807,13,65.03,37,0,0.6763053151054996,90.63053151054996,PRIORITIZE,High priority • Long customer message
T0000050,C01190,2026-03-20,Authentication,Web,Low,Starter,0,114,8,126.47,9,0,0.4868013090268766,51.680130902687665,MONITOR,Less-experienced agent
T0000051,C01769,2026-04-12,Payments API,Chat,Low,Free,0,49,51,123.88,2,0,0.35144748995974556,35.14474899597456,MONITOR,Payments product
T0000052,C01360,2026-01-31,Storage,Phone,Medium,Free,1,781,28,28.98,39,0,0.4221608532835454,52.21608532835454,MONITOR,Long customer message • Phone support
T0000053,C00382,2026-05-01,Authentication,Email,High,Enterprise,2,485,32,55.0,30,0,0.6854172873047337,100.54172873047337,PRIORITIZE,High priority • Enterprise customer
T0000054,C00067,2026-06-23,Payments API,Chat,Low,Starter,0,204,60,67.96,44,0,0.2854088359635119,31.54088359635119,NORMAL QUEUE,Payments product
T0000055,C01141,2026-01-08,Payments API,Phone,Low,Starter,2,58,16,47.04,12,0,0.5428229733399357,57.28229733399357,MONITOR,Payments product • Phone support
T0000056,C00997,2026-01-16,Storage,Chat,Urgent,Starter,1,581,22,48.14,9,0,0.7726869569677459,110.26869569677459,ESCALATE,Urgent priority
T0000057,C01660,2026-06-21,Authentication,Chat,Medium,Free,0,395,20,48.17,43,0,0.44967050602923647,54.96705060292365,MONITOR,No major risk drivers
T0000058,C01037,2026-04-27,Storage,Phone,Medium,Starter,4,285,9,31.96,11,0,0.583226722039354,71.3226722039354,PRIORITIZE,Frequent recent contact • Phone support • Less-experienced agent
T0000059,C00903,2026-06-15,Messaging,Chat,Low,Free,3,891,65,59.88,28,0,0.33722129539083884,33.72212953908388,NORMAL QUEUE,Long customer message
T0000060,C00547,2026-05-07,Storage,Email,Medium,Starter,3,230,6,33.7,26,1,0.5492386182473432,67.92386182473433,MONITOR,Less-experienced agent
T0000061,C00156,2026-05-10,Storage,Email,High,Starter,1,792,58,63.99,44,0,0.5290254180656541,75.90254180656541,MONITOR,High priority • Long customer message
T0000062,C01578,2026-01-29,Messaging,Web,Medium,Business,0,418,16,46.36,2,0,0.4479225574323035,61.79225574323035,MONITOR,No major risk drivers
T0000063,C01487,2026-04-03,Storage,Web,Low,Enterprise,1,201,25,52.87,5,0,0.3053720956852103,42.53720956852103,NORMAL QUEUE,Enterprise customer
T0000064,C00293,2026-03-07,Storage,Email,Medium,Business,2,667,18,21.54,25,0,0.4710007608313409,64.1000760831341,MONITOR,Long customer message
T0000065,C01268,2026-05-31,Analytics,Chat,Medium,Enterprise,2,763,7,40.01,10,1,0.5162422750288024,73.62422750288025,MONITOR,Long customer message • Less-experienced agent • Enterprise customer
T0000066,C00656,2026-01-08,Authentication,Chat,High,Starter,0,230,54,14.78,21,0,0.527440778447813,75.7440778447813,MONITOR,High priority
T0000067,C00787,2026-01-04,Storage,Email,Medium,Business,2,530,10,74.58,39,0,0.48981006559828005,65.981006559828,MONITOR,Less-experienced agent
T0000068,C01528,2026-04-11,Storage,Web,High,Starter,2,110,4,27.62,23,0,0.6728675500672887,90.28675500672887,PRIORITIZE,High priority • Less-experienced agent
T0000069,C01516,2026-06-24,Payments API,Chat,Medium,Free,1,598,27,39.83,8,0,0.5401222433326113,64.01222433326113,MONITOR,Payments product
T0000070,C00344,2026-06-29,Payments API,Web,Low,Starter,2,451,41,52.82,27,0,0.46999438255402315,49.99943825540232,MONITOR,Payments product
T0000071,C00554,2026-04-17,Analytics,Web,Medium,Business,3,761,16,76.49,26,0,0.5791003305891811,74.91003305891812,PRIORITIZE,Long customer message
T0000072,C01479,2026-03-19,Messaging,Email,Medium,Starter,1,506,66,63.74,46,0,0.349537916629318,47.9537916629318,NORMAL QUEUE,No major risk drivers
T0000073,C01651,2026-02-19,Analytics,Web,Low,Free,1,244,21,132.45,28,0,0.42797548862042756,42.79754886204275,MONITOR,No major risk drivers
T0000074,C00143,2026-06-28,Messaging,Web,Medium,Enterprise,2,601,67,22.22,46,0,0.3110167357249848,53.10167357249848,NORMAL QUEUE,Long customer message • Enterprise customer
T0000075,C01501,2026-02-02,Payments API,Chat,Low,Starter,0,359,18,130.16,6,0,0.46908040569087145,49.90804056908714,MONITOR,Payments product
T0000076,C00881,2026-01-23,Payments API,Email,Medium,Starter,1,422,44,38.9,16,1,0.5224950202194786,65.24950202194785,MONITOR,Payments product
T0000077,C01063,2026-04-02,Messaging,Web,Medium,Free,1,558,10,77.33,15,0,0.5412415969775575,64.12415969775574,MONITOR,Less-experienced agent
T0000078,C00136,2026-03-12,Analytics,Web,Low,Free,0,366,30,21.35,21,0,0.3483726600133546,34.83726600133546,NORMAL QUEUE,No major risk drivers
T0000079,C01225,2026-03-31,Payments API,Web,Medium,Free,0,224,58,122.05,22,0,0.43166719765908335,53.16671976590833,MONITOR,Payments product
T0000080,C01221,2026-06-12,Analytics,Chat,Medium,Free,1,162,25,41.21,14,0,0.43259720476973185,53.259720476973186,MONITOR,No major risk drivers
T0000081,C01193,2026-02-18,Analytics,Web,Medium,Business,0,867,20,95.59,38,0,0.45965264169878717,62.965264169878715,MONITOR,Long customer message
T0000082,C01424,2026-06-07,Authentication,Web,High,Starter,1,291,39,23.53,31,0,0.6426650233612367,87.26650233612366,PRIORITIZE,High priority
T0000083,C01703,2026-02-08,Storage,Chat,High,Starter,1,748,24,73.84,10,0,0.6105286408313918,84.05286408313918,PRIORITIZE,High priority • Long customer message
T0000084,C01530,2026-02-28,Payments API,Email,Medium,Free,0,246,61,18.48,28,0,0.4048140226993333,50.481402269933334,MONITOR,Payments product
T0000085,C01341,2026-01-01,Messaging,Chat,Medium,Free,0,655,23,29.17,42,0,0.3930070484590903,49.30070484590903,MONITOR,Long customer message
T0000086,C01767,2026-05-03,Analytics,Web,Medium,Enterprise,0,145,19,15.95,20,0,0.38727611784843985,60.72761178484399,MONITOR,Enterprise customer
T0000087,C01215,2026-06-04,Authentication,Email,High,Free,0,246,29,43.18,46,0,0.6450409414365367,84.50409414365367,PRIORITIZE,High priority
T0000088,C01210,2026-06-09,Analytics,Web,Medium,Starter,1,860,15,111.77,13,0,0.5707750657927239,70.07750657927238,PRIORITIZE,Long customer message
T0000089,C00976,2026-01-31,Analytics,Email,Medium,Starter,1,823,44,137.39,38,0,0.479372277306543,60.9372277306543,MONITOR,Long customer message
T0000090,C01385,2026-05-19,Authentication,Web,Low,Enterprise,0,189,15,320.74,42,1,0.44590722437321123,56.590722437321126,MONITOR,Enterprise customer
T0000091,C00129,2026-01-26,Authentication,Email,High,Free,1,464,23,53.16,4,0,0.7410006818266492,94.10006818266493,PRIORITIZE,High priority
T0000092,C00911,2026-04-24,Payments API,Web,High,Business,0,527,37,37.47,11,0,0.6517754468277984,92.17754468277984,PRIORITIZE,High priority • Payments product
T0000093,C00766,2026-05-07,Payments API,Chat,Low,Free,2,780,21,38.9,43,1,0.4978827738908045,49.78827738908045,MONITOR,Long customer message • Payments product
T0000094,C01643,2026-01-28,Analytics,Web,Medium,Starter,0,380,27,32.42,17,0,0.43664069368079855,56.66406936807986,MONITOR,No major risk drivers
T0000095,C00131,2026-01-20,Storage,Phone,Medium,Free,0,799,17,50.89,32,0,0.4348705321818678,53.48705321818678,MONITOR,Long customer message • Phone support
T0000096,C01159,2026-01-14,Analytics,Email,Low,Starter,2,506,67,158.22,23,0,0.36979027138275505,39.979027138275505,MONITOR,No major risk drivers
T0000097,C00332,2026-05-08,Authentication,Email,Low,Free,0,288,39,29.69,32,0,0.3708187883081631,37.081878830816315,MONITOR,No major risk drivers
T0000098,C01591,2026-04-21,Authentication,Email,High,Free,0,538,30,50.17,38,0,0.6688688781629133,86.88688781629133,PRIORITIZE,High priority
T0000099,C01534,2026-01-22,Analytics,Chat,Low,Business,0,102,18,38.82,18,0,0.3112554448731327,38.12554448731328,NORMAL QUEUE,No major risk drivers
T0000100,C00424,2026-04-01,Payments API,Web,Medium,Free,0,482,49,177.46,18,0,0.49796914353130006,59.796914353130006,MONITOR,Payments product
T0000101,C01570,2026-05-24,Authentication,Email,High,Starter,1,98,40,65.39,18,0,0.6673245712591307,89.73245712591307,PRIORITIZE,High priority
T0000102,C00895,2026-02-12,Storage,Web,Low,Business,1,316,61,13.02,8,0,0.22798270152175049,29.79827015217505,NORMAL QUEUE,No major risk drivers
T0000103,C01748,2026-04-20,Storage,Chat,Medium,Starter,2,645,3,49.65,6,0,0.518155713362048,64.81557133620481,MONITOR,Long customer message • Less-experienced agent
T0000104,C01314,2026-02-22,Analytics,Phone,High,Free,0,326,59,78.13,28,0,0.5304535872341131,73.04535872341131,MONITOR,High priority • Phone support
T0000105,C00063,2026-02-16,Authentication,Chat,High,Starter,1,892,55,37.73,35,0,0.5978048296111018,82.78048296111018,PRIORITIZE,High priority • Long customer message
T0000106,C00365,2026-03-12,Analytics,Phone,Low,Starter,1,178,15,46.0,27,0,0.4241647175440151,45.416471754401506,MONITOR,Phone support
T0000107,C00727,2026-03-05,Storage,Chat,Low,Free,1,807,38,43.67,15,0,0.30730124350697857,30.730124350697857,NORMAL QUEUE,Long customer message
T0000108,C00381,2026-03-31,Authentication,Phone,Medium,Starter,2,389,53,77.49,20,0,0.4948639786669834,62.48639786669834,MONITOR,Phone support
T0000109,C00239,2026-02-06,Storage,Chat,Low,Free,2,596,47,57.67,8,0,0.31141060799587966,31.141060799587965,NORMAL QUEUE,No major risk drivers
T0000110,C01761,2026-03-12,Storage,Chat,Medium,Starter,1,344,46,42.99,26,0,0.31407147136058294,44.4071471360583,NORMAL QUEUE,No major risk drivers
T0000111,C01565,2026-04-23,Analytics,Web,Low,Business,3,462,13,36.47,12,0,0.4941339289796875,56.41339289796875,MONITOR,No major risk drivers
T0000112,C00783,2026-03-11,Authentication,Chat,High,Starter,0,893,34,67.38,37,0,0.6328754731729808,86.28754731729808,PRIORITIZE,High priority • Long customer message
T0000113,C00388,2026-04-29,Authentication,Chat,Medium,Enterprise,1,197,62,28.0,14,0,0.31753913076988166,53.75391307698817,NORMAL QUEUE,Enterprise customer
T0000114,C00328,2026-01-21,Analytics,Chat,Medium,Starter,1,111,60,86.88,1,0,0.34913452543792295,47.913452543792296,NORMAL QUEUE,No major risk drivers
T0000115,C01649,2026-01-25,Storage,Web,Medium,Business,1,509,11,19.87,41,0,0.4128790361501151,58.287903615011516,MONITOR,Less-experienced agent
T0000116,C00597,2026-06-05,Authentication,Web,Low,Business,2,532,28,50.83,38,0,0.4428475157688199,51.284751576881995,MONITOR,No major risk drivers
T0000117,C00023,2026-03-25,Analytics,Email,Medium,Enterprise,2,794,62,115.65,43,0,0.3948244037038208,61.48244037038208,MONITOR,Long customer message • Enterprise customer
T0000118,C00716,2026-04-20,Authentication,Web,High,Free,0,890,7,55.31,16,0,0.75150776174297,95.150776174297,ESCALATE,High priority • Long customer message • Less-experienced agent
T0000119,C00818,2026-05-14,Storage,Chat,Medium,Starter,1,540,43,42.62,34,1,0.32705012183936605,45.7050121839366,NORMAL QUEUE,No major risk drivers
T0000120,C01122,2026-01-27,Authentication,Email,Low,Free,0,837,4,26.04,38,1,0.508296246666794,50.82962466667939,MONITOR,Long customer message • Less-experienced agent
T0000121,C00610,2026-06-25,Messaging,Email,High,Starter,2,112,68,92.54,42,0,0.5469207283280934,77.69207283280934,MONITOR,High priority
T0000122,C01662,2026-03-18,Storage,Email,Low,Starter,0,633,46,48.85,14,0,0.29463229087979226,32.46322908797923,NORMAL QUEUE,Long customer message
T0000123,C01159,2026-06-10,Analytics,Web,Medium,Starter,1,490,60,158.22,23,0,0.410194190524215,54.019419052421505,MONITOR,No major risk drivers
T0000124,C01776,2026-03-17,Storage,Email,Low,Starter,2,375,34,104.54,12,0,0.3955230015157112,42.55230015157112,MONITOR,No major risk drivers
T0000125,C00661,2026-03-15,Authentication,Email,Medium,Free,2,770,4,29.64,27,0,0.6585270056223299,75.852700562233,PRIORITIZE,Long customer message • Less-experienced agent
T0000126,C01174,2026-04-19,Authentication,Chat,Low,Business,1,662,55,27.52,9,0,0.32057359042646827,39.05735904264683,NORMAL QUEUE,Long customer message
T0000127,C00658,2026-02-04,Messaging,Web,Low,Free,0,90,70,91.97,7,0,0.24641892638878762,24.641892638878762,NORMAL QUEUE,No major risk drivers
T0000128,C01260,2026-04-20,Payments API,Chat,Medium,Enterprise,2,844,64,29.66,47,0,0.38502129100794447,60.50212910079445,MONITOR,Long customer message • Payments product • Enterprise customer
T0000129,C01343,2026-06-26,Messaging,Chat,Low,Starter,0,461,13,65.65,11,0,0.37659394859198797,40.6593948591988,MONITOR,No major risk drivers
T0000130,C00580,2026-04-27,Authentication,Web,Medium,Starter,1,501,46,270.11,25,0,0.5345062874422524,66.45062874422524,MONITOR,No major risk drivers
T0000131,C01688,2026-01-13,Messaging,Email,Medium,Starter,1,184,10,91.74,41,0,0.5127912958552956,64.27912958552956,MONITOR,Less-experienced agent
T0000132,C01543,2026-05-06,Storage,Web,Medium,Starter,0,328,41,49.33,34,0,0.3236172385930215,45.36172385930215,NORMAL QUEUE,No major risk drivers
T0000133,C01611,2026-01-07,Authentication,Email,Low,Free,3,650,30,37.19,33,0,0.5310935161263088,53.10935161263088,MONITOR,Long customer message
T0000134,C00393,2026-01-19,Storage,Email,High,Starter,1,41,15,48.56,47,0,0.6045132495753348,83.45132495753347,PRIORITIZE,High priority
T0000135,C01293,2026-02-21,Authentication,Chat,Medium,Starter,2,370,41,112.77,47,0,0.469749997570915,59.9749997570915,MONITOR,No major risk drivers
T0000136,C00192,2026-02-24,Analytics,Email,Medium,Free,2,470,41,25.37,12,0,0.49254023563314,59.254023563314,MONITOR,No major risk drivers
T0000137,C00190,2026-01-01,Messaging,Email,Low,Free,0,825,39,27.42,46,0,0.33498969377981647,33.498969377981645,NORMAL QUEUE,Long customer message
T0000138,C01752,2026-01-04,Payments API,Web,High,Free,0,110,38,63.74,21,0,0.6508188672012942,85.08188672012942,PRIORITIZE,High priority • Payments product
T0000139,C00276,2026-05-23,Storage,Chat,Medium,Starter,2,798,26,68.63,36,0,0.4334786072150926,56.347860721509264,MONITOR,Long customer message
T0000140,C01556,2026-03-23,Payments API,Email,Low,Business,3,307,44,39.92,1,0,0.49522744245438693,56.522744245438695,MONITOR,Payments product
T0000141,C00776,2026-02-05,Authentication,Chat,Low,Business,0,257,3,52.41,23,0,0.40754246861455695,47.7542468614557,MONITOR,Less-experienced agent
T0000142,C00547,2026-03-19,Storage,Web,Medium,Starter,3,571,36,33.7,26,0,0.4599661918978052,58.99661918978052,MONITOR,No major risk drivers
T0000143,C00133,2026-05-05,Payments API,Phone,Low,Starter,1,407,37,63.62,12,1,0.4691569640320576,49.91569640320576,MONITOR,Payments product • Phone support
T0000144,C01216,2026-05-13,Authentication,Email,Medium,Starter,2,271,42,43.82,10,0,0.5306381204596373,66.06381204596373,MONITOR,No major risk drivers
T0000145,C01299,2026-02-21,Authentication,Web,Medium,Business,0,217,67,21.33,10,1,0.32694545369256145,49.69454536925615,NORMAL QUEUE,No major risk drivers
T0000146,C00841,2026-01-31,Analytics,Web,Medium,Free,0,224,55,53.86,35,0,0.3341700121158603,43.417001211586026,NORMAL QUEUE,No major risk drivers
T0000147,C01458,2026-06-22,Messaging,Chat,Medium,Starter,2,228,56,86.58,21,0,0.37133142086184684,50.133142086184684,MONITOR,No major risk drivers
T0000148,C00582,2026-04-24,Analytics,Email,Medium,Starter,4,542,64,88.43,28,0,0.5010029408284864,63.10029408284864,MONITOR,Frequent recent contact
T0000149,C00994,2026-06-26,Analytics,Chat,Low,Free,0,429,68,57.65,41,0,0.2186126434364727,21.861264343647267,NORMAL QUEUE,No major risk drivers
T0000150,C00517,2026-02-25,Analytics,Email,Medium,Starter,0,93,38,80.68,26,0,0.4076341463918937,53.76341463918937,MONITOR,No major risk drivers
T0000151,C01049,2026-01-21,Messaging,Web,High,Business,1,236,36,47.97,2,0,0.5943217963382924,86.43217963382924,PRIORITIZE,High priority
T0000152,C00245,2026-03-10,Storage,Web,High,Starter,0,837,62,29.0,15,0,0.4821319933241112,71.21319933241112,MONITOR,High priority • Long customer message
T0000153,C00858,2026-03-01,Payments API,Email,Medium,Business,0,739,60,13.37,9,0,0.4255661728445527,59.55661728445527,MONITOR,Long customer message • Payments product
T0000154,C00989,2026-05-10,Authentication,Email,High,Starter,1,885,44,95.02,17,1,0.7107398392464094,94.07398392464094,PRIORITIZE,High priority • Long customer message
T0000155,C01002,2026-05-09,Analytics,Phone,Low,Starter,2,632,56,72.79,25,0,0.37443813853333163,40.44381385333316,MONITOR,Long customer message • Phone support
T0000156,C00804,2026-01-13,Analytics,Chat,Low,Starter,2,890,27,56.45,7,0,0.4463579845833388,47.63579845833388,MONITOR,Long customer message
T0000157,C01159,2026-04-16,Storage,Chat,Low,Starter,3,627,17,158.22,23,0,0.45056067848955417,48.056067848955415,MONITOR,Long customer message
T0000158,C00922,2026-03-03,Messaging,Phone,Low,Business,2,35,28,14.12,31,0,0.35540052982065673,42.540052982065674,MONITOR,Phone support
T0000159,C00510,2026-04-21,Storage,Email,High,Free,1,512,49,66.39,30,0,0.5532553335034144,75.32553335034143,PRIORITIZE,High priority
T0000160,C00388,2026-03-12,Messaging,Chat,Low,Enterprise,0,32,55,28.0,14,0,0.1951990931727169,31.51990931727169,NORMAL QUEUE,Enterprise customer
T0000161,C01166,2026-04-07,Messaging,Web,Medium,Business,0,149,35,19.54,8,0,0.35953650947434074,52.95365094743407,MONITOR,No major risk drivers
T0000162,C01690,2026-05-09,Messaging,Chat,Low,Starter,0,119,36,33.99,14,0,0.2815231652085256,31.152316520852562,NORMAL QUEUE,No major risk drivers
T0000163,C01356,2026-02-22,Messaging,Chat,High,Free,0,73,61,127.79,41,0,0.44999378323932077,64.99937832393208,MONITOR,High priority
T0000164,C01150,2026-02-05,Storage,Web,High,Business,1,827,56,93.94,9,0,0.5314689270413198,80.14689270413197,MONITOR,High priority • Long customer message
T0000165,C01659,2026-05-08,Analytics,Email,Medium,Starter,0,171,36,46.65,5,0,0.42831989726037906,55.831989726037904,MONITOR,No major risk drivers
T0000166,C01620,2026-06-20,Payments API,Email,Medium,Free,3,786,42,67.11,40,0,0.6107323496639531,71.0732349663953,PRIORITIZE,Long customer message • Payments product
T0000167,C00912,2026-03-21,Authentication,Chat,High,Business,2,302,46,44.13,28,0,0.6002255833934644,87.02255833934645,PRIORITIZE,High priority
T0000168,C00197,2026-06-29,Payments API,Web,High,Starter,2,45,6,29.22,38,0,0.7664099672376985,99.64099672376985,ESCALATE,High priority • Payments product • Less-experienced agent
T0000169,C01142,2026-02-03,Payments API,Chat,Medium,Business,0,322,34,25.51,17,0,0.41897090712119733,58.897090712119734,MONITOR,Payments product
T0000170,C01122,2026-05-28,Payments API,Email,Medium,Free,1,92,36,26.04,38,0,0.5010685910532982,60.10685910532982,MONITOR,Payments product
T0000171,C00500,2026-06-27,Payments API,Chat,Medium,Starter,0,302,68,55.47,7,1,0.3632438672688242,49.324386726882416,MONITOR,Payments product
T0000172,C01530,2026-02-23,Messaging,Chat,Medium,Free,2,294,37,18.48,28,0,0.40683438841079683,50.683438841079685,MONITOR,No major risk drivers
T0000173,C01566,2026-01-27,Authentication,Web,High,Starter,1,73,3,49.78,11,0,0.7485421097601733,97.85421097601733,PRIORITIZE,High priority • Less-experienced agent
T0000174,C00596,2026-04-30,Storage,Web,Medium,Free,1,272,51,43.63,24,0,0.33219687522216407,43.219687522216404,NORMAL QUEUE,No major risk drivers
T0000175,C00859,2026-06-06,Analytics,Chat,Low,Starter,1,129,60,28.75,37,0,0.24378507182094872,27.37850718209487,NORMAL QUEUE,No major risk drivers
T0000176,C00352,2026-01-15,Analytics,Web,Low,Free,1,31,57,26.61,21,0,0.2880257778551546,28.80257778551546,NORMAL QUEUE,No major risk drivers
T0000177,C00322,2026-04-26,Authentication,Web,Urgent,Starter,1,572,54,11.01,10,0,0.7959389112233669,112.59389112233669,ESCALATE,Urgent priority
