customer_id,plan,monthly_spend,months_active
C00448,Starter,90.25,45
C00449,Free,36.92,27
C00450,Starter,33.23,16
C00451,Free,59.41,14
C00452,Business,66.49,27
C00453,Business,33.71,1
C00454,Free,74.72,13
C00455,Free,84.5,8
C00456,Free,103.5,30
C00457,Enterprise,142.01,32
C00458,Starter,25.45,22
C00459,Business,45.11,7
C00460,Starter,45.03,18
C00461,Starter,41.94,40
C00462,Free,29.31,10
C00463,Enterprise,17.02,8
C00464,Starter,47.48,6
C00465,Starter,27.13,39
C00466,Starter,47.27,6
C00467,Starter,26.68,28
C00468,Enterprise,21.87,47
C00469,Free,52.05,31
C00470,Starter,49.31,20
C00471,Starter,65.14,10
C00472,Starter,185.08,1
C00473,Free,53.53,8
C00474,Free,61.27,45
C00475,Free,22.19,7
C00476,Starter,19.37,1
C00477,Starter,125.07,39
C00478,Starter,24.53,20
C00479,Starter,22.68,17
C00480,Starter,43.58,34
C00481,Starter,42.16,25
C00482,Free,24.86,43
C00483,Starter,36.66,22
C00484,Starter,99.39,34
C00485,Free,26.47,42
C00486,Starter,18.07,22
C00487,Starter,82.49,14
C00488,Free,61.56,46
C00489,Starter,29.86,11
C00490,Starter,15.98,2
C00491,Business,27.55,28
C00492,Starter,43.14,47
C00493,Starter,95.36,5
C00494,Starter,22.79,40
C00495,Business,42.31,40
C00496,Starter,69.33,44
C00497,Starter,9.51,20
C00498,Starter,87.53,12
C00499,Starter,20.73,25
C00500,Starter,55.47,7
C00501,Business,52.48,40
C00502,Business,90.47,32
C00503,Business,63.95,23
C00504,Starter,9.53,25
C00505,Starter,26.84,34
C00506,Business,48.9,25
C00507,Starter,39.38,40
C00508,Business,60.97,44
C00509,Starter,74.67,45
C00510,Free,66.39,30
C00511,Free,38.89,35
C00512,Business,13.46,15
C00513,Free,33.25,2
C00514,Free,58.59,19
C00515,Starter,22.0,41
C00516,Free,67.38,7
C00517,Starter,80.68,26
C00518,Business,48.54,10
C00519,Free,6.1,21
C00520,Business,19.48,7
C00521,Business,152.33,35
C00522,Starter,31.34,39
C00523,Free,12.31,36
C00524,Starter,99.77,34
C00525,Free,45.09,12
C00526,Starter,91.67,25
C00527,Enterprise,53.52,5
C00528,Enterprise,60.22,18
C00529,Business,56.6,24
C00530,Starter,70.34,32
C00531,Starter,196.43,5
C00532,Business,84.03,39
C00533,Starter,16.0,22
C00534,Starter,59.76,42
C00535,Free,93.87,25
C00536,Free,97.69,26
C00537,Starter,33.88,33
C00538,Free,95.32,39
C00539,Free,81.7,8
C00540,Business,237.97,25
C00541,Enterprise,27.45,2
C00542,Starter,32.14,23
C00543,Business,36.64,39
C00544,Enterprise,32.5,41
C00545,Free,25.07,14
C00546,Starter,7.42,19
C00547,Starter,33.7,26
C00548,Free,56.83,19
C00549,Business,32.44,9
C00550,Starter,157.28,15
C00551,Starter,45.09,19
C00552,Free,103.46,25
C00553,Free,52.98,44
C00554,Business,76.49,26
C00555,Free,53.6,19
C00556,Free,108.82,32
C00557,Free,46.36,37
C00558,Starter,61.71,21
C00559,Starter,56.72,23
C00560,Starter,37.06,11
C00561,Free,58.16,41
C00562,Free,191.01,41
C00563,Business,37.5,9
C00564,Starter,58.71,17
C00565,Starter,101.25,13
C00566,Starter,93.8,44
C00567,Business,45.04,4
C00568,Free,9.5,10
C00569,Starter,62.54,15
C00570,Starter,10.56,27
C00571,Starter,116.22,12
C00572,Business,49.91,26
C00573,Starter,85.61,36
C00574,Business,24.87,39
C00575,Business,16.3,5
C00576,Starter,52.96,7
C00577,Business,43.74,5
C00578,Starter,32.48,43
C00579,Business,47.23,31
C00580,Starter,270.11,25
C00581,Starter,76.9,38
C00582,Starter,88.43,28
C00583,Free,77.37,12
C00584,Starter,116.94,24
C00585,Business,39.51,34
C00586,Starter,11.76,2
C00587,Free,39.54,29
C00588,Starter,75.76,24
C00589,Free,23.8,4
C00590,Free,39.86,13
C00591,Business,28.51,22
C00592,Starter,118.67,17
C00593,Starter,72.76,14
C00594,Starter,68.27,31
C00595,Free,66.96,20
C00596,Free,43.63,24
C00597,Business,50.83,38
C00598,Starter,20.69,5
C00599,Enterprise,10.79,17
C00600,Starter,49.28,4
C00601,Starter,55.18,44
C00602,Business,98.1,9
C00603,Business,124.13,39
C00604,Business,124.03,9
C00605,Enterprise,23.37,16
C00606,Business,35.55,29
C00607,Business,61.08,40
C00608,Free,231.77,9
C00609,Business,116.99,11
C00610,Starter,92.54,42
C00611,Starter,34.74,16
C00612,Starter,25.18,10
C00613,Enterprise,74.65,35
C00614,Enterprise,21.86,5
C00615,Free,38.28,41
C00616,Business,41.49,42
C00617,Business,125.89,41
C00618,Starter,35.5,14
C00619,Free,9.16,6
C00620,Free,62.05,20
C00621,Business,28.38,16
C00622,Starter,45.96,46
C00623,Enterprise,42.25,30
C00624,Starter,37.42,45
C00625,Enterprise,74.72,36
C00626,Starter,16.5,34
C00627,Business,31.94,6
C00628,Free,69.73,4
C00629,Starter,29.99,3
C00630,Business,15.71,28
C00631,Business,69.03,10
C00632,Business,92.76,47
C00633,Free,43.41,7
C00634,Starter,12.5,45
C00635,Free,70.73,32
C00636,Free,15.2,5
C00637,Starter,54.64,3
C00638,Business,25.11,19
C00639,Business,21.03,16
C00640,Business,33.54,15
C00641,Business,39.68,25
C00642,Business,29.41,7
C00643,Free,65.54,7
C00644,Free,33.45,33
C00645,Starter,84.53,47
C00646,Business,53.67,13
C00647,Free,28.41,44
C00648,Starter,25.46,17
C00649,Starter,15.32,16
C00650,Free,54.0,5
C00651,Starter,35.5,20
C00652,Business,9.56,24
C00653,Starter,31.56,32
C00654,Free,24.89,8
C00655,Business,124.49,9
C00656,Starter,14.78,21
C00657,Business,17.52,4
C00658,Free,91.97,7
C00659,Starter,107.97,30
C00660,Starter,27.54,45
C00661,Free,29.64,27
C00662,Business,66.72,7
C00663,Free,9.85,47
C00664,Free,13.33,25
C00665,Starter,37.25,34
C00666,Business,122.42,10
C00667,Business,33.68,28
C00668,Enterprise,47.73,4
C00669,Free,93.41,30
C00670,Starter,175.82,10
C00671,Free,30.72,43
C00672,Starter,44.21,3
C00673,Enterprise,146.11,31
C00674,Business,16.62,7
C00675,Starter,87.18,33
C00676,Starter,23.06,24
C00677,Business,47.78,46
C00678,Starter,38.18,31
C00679,Free,23.98,18
C00680,Starter,23.59,5
C00681,Free,53.5,29
C00682,Free,85.38,21
C00683,Free,41.09,3
C00684,Starter,46.79,28
C00685,Starter,64.8,10
C00686,Starter,23.77,12
C00687,Starter,72.3,1
C00688,Enterprise,76.14,18
C00689,Business,242.83,11
C00690,Starter,35.01,4
C00691,Free,33.19,21
C00692,Business,73.69,11
C00693,Free,76.13,7
C00694,Starter,31.57,22
C00695,Business,34.4,3
C00696,Starter,63.54,47
C00697,Business,26.1,23
C00698,Starter,34.23,47
C00699,Starter,47.38,42
C00700,Free,85.4,47
C00701,Free,30.17,26
C00702,Starter,13.5,20
C00703,Free,12.86,34
C00704,Business,19.72,4
C00705,Free,19.04,40
C00706,Starter,40.43,16
C00707,Business,20.64,1
C00708,Business,28.31,12
C00709,Starter,27.03,12
C00710,Starter,33.57,1
C00711,Enterprise,105.6,32
C00712,Starter,68.74,5
C00713,Business,45.17,40
C00714,Business,33.13,22
C00715,Business,33.73,34
C00716,Free,55.31,16
C00717,Starter,65.35,7
C00718,Free,24.78,9
C00719,Starter,45.77,31
C00720,Enterprise,11.93,34
C00721,Starter,51.3,13
C00722,Starter,73.36,17
C00723,Free,37.26,45
C00724,Enterprise,145.58,41
C00725,Free,25.21,20
C00726,Free,51.49,12
C00727,Free,43.67,15
C00728,Free,41.88,26
C00729,Starter,41.5,27
C00730,Starter,47.92,9
C00731,Starter,77.57,4
C00732,Free,109.46,24
C00733,Free,44.64,38
C00734,Starter,75.94,8
C00735,Free,28.33,20
C00736,Starter,73.54,8
C00737,Free,27.24,12
C00738,Starter,90.82,29
C00739,Starter,188.09,14
C00740,Starter,41.29,13
C00741,Free,10.75,47
C00742,Free,31.3,9
C00743,Business,99.56,9
C00744,Free,64.04,44
C00745,Starter,52.55,26
C00746,Starter,86.11,3
C00747,Starter,61.25,20
C00748,Starter,98.64,27
C00749,Business,81.26,12
C00750,Business,120.19,26
C00751,Free,56.44,31
C00752,Starter,80.51,12
C00753,Free,36.61,39
C00754,Starter,30.24,22
C00755,Starter,135.56,46
C00756,Free,51.45,5
C00757,Starter,75.43,16
C00758,Enterprise,48.45,34
C00759,Free,30.53,43
C00760,Starter,45.02,11
C00761,Business,113.68,47
C00762,Free,64.13,10
C00763,Free,14.7,20
C00764,Free,38.86,15
C00765,Business,142.38,20
C00766,Free,38.9,43
C00767,Free,13.87,35
C00768,Free,153.01,38
C00769,Free,69.66,12
C00770,Starter,42.71,45
C00771,Free,35.11,21
C00772,Starter,90.34,31
C00773,Starter,31.43,33
C00774,Business,94.29,32
C00775,Free,63.59,29
C00776,Business,52.41,23
C00777,Starter,49.14,31
C00778,Free,39.9,43
C00779,Business,88.21,19
C00780,Business,25.47,25
C00781,Free,15.58,9
C00782,Business,66.65,17
C00783,Starter,67.38,37
C00784,Starter,61.08,31
C00785,Enterprise,58.27,10
C00786,Starter,36.29,26
C00787,Business,74.58,39
C00788,Starter,43.4,6
C00789,Business,32.57,3
C00790,Starter,36.5,19
C00791,Free,166.24,31
C00792,Starter,14.47,15
C00793,Starter,61.86,39
C00794,Free,15.01,40
C00795,Free,41.66,26
C00796,Starter,33.72,18
C00797,Free,11.53,2
C00798,Free,57.56,39
C00799,Business,34.92,43
C00800,Business,11.42,21
C00801,Business,77.15,25
C00802,Starter,113.61,36
C00803,Business,117.75,33
C00804,Starter,56.45,7
C00805,Free,46.06,32
C00806,Free,105.99,44
C00807,Starter,133.43,36
C00808,Free,93.39,23
C00809,Starter,24.24,25
C00810,Enterprise,50.95,13
C00811,Free,59.48,32
C00812,Free,13.79,12
C00813,Enterprise,60.65,17
C00814,Starter,195.87,13
C00815,Free,67.76,16
C00816,Business,116.48,18
C00817,Business,50.34,4
C00818,Starter,42.62,34
C00819,Starter,57.27,21
C00820,Free,26.3,45
C00821,Free,23.89,9
C00822,Starter,101.81,32
C00823,Free,109.07,9
C00824,Starter,23.47,26
C00825,Business,83.86,24
C00826,Free,42.24,22
C00827,Starter,55.75,31
C00828,Free,60.29,39
C00829,Business,85.31,15
C00830,Free,47.17,40
C00831,Starter,111.79,9
C00832,Starter,54.66,14
C00833,Starter,67.07,15
C00834,Starter,26.01,45
C00835,Business,181.84,6
C00836,Starter,60.67,19
C00837,Business,71.05,20
C00838,Enterprise,15.72,38
C00839,Starter,26.19,23
C00840,Starter,99.95,46
C00841,Free,53.86,35
C00842,Business,12.88,34
C00843,Starter,87.78,36
C00844,Starter,31.39,8
C00845,Free,111.87,22
C00846,Business,42.22,28
C00847,Starter,51.06,10
C00848,Starter,96.19,6
C00849,Free,24.94,7
C00850,Enterprise,23.44,38
C00851,Free,39.34,31
C00852,Free,76.53,14
C00853,Business,18.82,35
C00854,Business,15.12,33
C00855,Free,76.36,39
C00856,Starter,30.21,43
C00857,Business,34.64,42
C00858,Business,13.37,9
C00859,Starter,28.75,37
C00860,Starter,44.48,19
C00861,Business,81.84,19
C00862,Business,27.08,31
C00863,Business,131.28,29
C00864,Starter,28.65,20
C00865,Free,28.67,47
C00866,Business,121.42,9
C00867,Business,51.29,5
C00868,Business,31.22,2
C00869,Free,40.41,39
C00870,Free,107.72,20
C00871,Business,115.94,21
C00872,Free,26.29,31
C00873,Enterprise,43.49,21
C00874,Starter,47.4,27
C00875,Business,23.55,3
C00876,Business,43.11,8
C00877,Starter,44.86,44
C00878,Starter,93.8,22
C00879,Starter,97.99,8
C00880,Starter,36.09,18
C00881,Starter,38.9,16
C00882,Starter,68.84,13
C00883,Enterprise,30.56,14
C00884,Starter,65.54,35
C00885,Free,42.22,6
C00886,Starter,23.8,15
C00887,Starter,24.0,22
C00888,Free,114.5,26
C00889,Free,40.38,42
C00890,Starter,129.83,44
C00891,Starter,32.01,14
C00892,Enterprise,54.02,26
C00893,Free,211.71,2
C00894,Free,22.48,30
C00895,Business,13.02,8
C00896,Business,103.16,4
C00897,Free,26.12,32
C00898,Free,44.1,9
C00899,Free,30.54,23
C00900,Starter,53.21,5
C00901,Starter,24.1,36
C00902,Free,39.77,36
C00903,Free,59.88,28
C00904,Starter,23.21,40
C00905,Enterprise,28.36,21
C00906,Starter,35.67,9
C00907,Starter,17.66,8
C00908,Free,33.97,11
C00909,Free,48.29,10
C00910,Free,34.48,16
C00911,Business,37.47,11
C00912,Business,44.13,28
C00913,Business,29.19,7
C00914,Enterprise,70.05,30
C00915,Enterprise,113.68,16
C00916,Enterprise,33.05,33
C00917,Free,61.28,25
C00918,Free,38.25,43
C00919,Starter,56.69,21
C00920,Starter,123.69,14
C00921,Free,62.22,28
C00922,Business,14.12,31
C00923,Starter,60.05,21
C00924,Starter,99.62,27
C00925,Free,38.7,23
C00926,Free,85.38,15
C00927,Free,28.54,15
C00928,Business,17.02,43
C00929,Starter,49.0,32
C00930,Business,14.27,5
C00931,Free,38.25,46
C00932,Starter,103.18,34
C00933,Starter,12.92,3
C00934,Business,19.46,35
C00935,Business,22.86,28
C00936,Free,42.9,44
C00937,Enterprise,35.24,24
C00938,Free,110.99,25
C00939,Business,83.12,15
C00940,Free,61.68,16
C00941,Free,49.14,30
C00942,Business,57.72,39
C00943,Free,25.53,42
C00944,Starter,78.04,37
C00945,Starter,21.7,29
C00946,Free,76.94,24
C00947,Business,96.64,16
C00948,Business,51.27,37
C00949,Business,39.86,15
C00950,Starter,57.99,13
C00951,Starter,6.96,41
C00952,Free,54.41,28
C00953,Free,41.53,17
C00954,Free,43.25,41
C00955,Enterprise,70.76,46
C00956,Business,42.58,15
C00957,Business,21.3,25
C00958,Starter,40.78,23
C00959,Starter,46.71,33
C00960,Starter,48.17,45
C00961,Starter,49.66,26
C00962,Starter,87.85,38
C00963,Free,22.07,28
C00964,Free,50.11,42
C00965,Enterprise,103.38,20
C00966,Starter,14.48,19
C00967,Enterprise,50.24,20
C00968,Free,30.55,47
C00969,Starter,35.13,29
C00970,Free,24.83,8
C00971,Free,40.04,2
C00972,Free,147.94,25
C00973,Free,19.65,38
C00974,Business,20.9,23
C00975,Starter,19.18,27
C00976,Starter,137.39,38
C00977,Starter,33.1,25
C00978,Starter,43.96,43
C00979,Starter,34.4,30
C00980,Free,24.19,35
C00981,Enterprise,38.37,37
C00982,Business,220.93,30
C00983,Business,110.48,3
C00984,Starter,25.68,21
C00985,Free,68.1,7
C00986,Business,26.04,24
C00987,Starter,14.09,7
C00988,Free,86.72,24
C00989,Starter,95.02,17
C00990,Business,88.23,1
C00991,Starter,32.94,6
C00992,Business,40.11,24
C00993,Business,72.77,4
C00994,Free,57.65,41
C00995,Business,34.61,36
C00996,Starter,15.61,34
C00997,Starter,48.14,9
C00998,Free,90.14,38
C00999,Enterprise,20.52,30
C01000,Free,67.71,19
C01001,Free,55.45,1
C01002,Starter,72.79,25
C01003,Free,78.79,38
C01004,Free,28.46,2
C01005,Starter,15.63,3
C01006,Starter,31.6,19
C01007,Business,79.67,25
C01008,Starter,31.43,23
C01009,Business,28.47,21
C01010,Starter,13.68,12
C01011,Starter,139.66,3
C01012,Starter,76.46,2
C01013,Starter,73.73,5
C01014,Enterprise,83.85,33
C01015,Starter,65.03,37
C01016,Free,38.14,21
C01017,Starter,40.19,4
C01018,Business,33.85,20
C01019,Free,247.79,47
C01020,Starter,64.16,12
C01021,Business,33.07,24
C01022,Business,60.5,26
C01023,Enterprise,23.17,16
C01024,Starter,118.86,21
C01025,Starter,29.09,23
C01026,Starter,61.91,23
C01027,Enterprise,89.38,34
